,타이틀,링크,회사명,태그,설명,태그1,태그2,태그3,태그4,태그5,태그6,태그7
0,엔씨소프트 부문별 수시 채용,/Recruit/GI_Read/42971712?rPageCode=PL&logpath=21,㈜엔씨소프트,"['신입·경력', '학력무관', '경기성남시', '정규직']","게임소프트웨어, 데이터관리, 사이트관리, 콘솔게임, 모션그래픽, 테스터, 아케이드게임, 애니메이션, RPG, 게임디자인, 게임시나리오, 서버구축, PM, 방화벽, 게임기획, 게임운영관리, 네트워크관리, 모델링, 증강현실, 게임기획, 웹게임, Java게임, MMORPG, 게임개발, 베타테스터, 원화디자인, 원화디자인, 정보보안, 3D온라인게임, 시나리오작가, 서버관리, 검증, 아바타디자인, 퍼블리싱, 모션그래픽",신입·경력,학력무관,경기성남시,정규직,,,
1,2023년 하반기 각 부문 신입/경력 상시 채용,/Recruit/GI_Read/42971591?rPageCode=PL&logpath=21,㈜코난테크놀로지,"['신입·경력', '대졸↑', '서울서초구', '정규직']","네트워크관리, BigData, GUI, 빅데이터, OLAP개발자, 데이터관리, SI개발, 솔루션영업, 펌웨어, 데이터레이크, 인터페이스, 데이터분석, 음성인식, SI개발, 솔루션, 테스터, DBMS, 시스템영업, 웹마스터, 딥러닝, 데이터시각화, 암호화폐, ETL, 서버구축, 시스템분석, 시스템운영, 제안·컨설팅, 서버관리, 인공지능, 챗봇, 기술영업, 시스템운영, BI, 모델링, 방화벽, 시스템분석, 정보보안, 앱기획, 이미지프로세싱, SI개발, UI·UX기획, 네트워크관리, 웹사이트구축영업, 자연어처리(NLP), 클라이언트, 콘텐츠기획, SI개발, 보안관제, 시스템설계, 증강현실, 데이터분석, 인터페이스, 솔루션스아키텍트, 거래처관리, 클라우드개발자, 분석모델링, 네트워크관리, 정보보안, 데이터마이닝, 아키텍처, 챗봇, 서버구축, 시스템설계, 반응형웹, 핀테크, DW모델러, 기술지원, 네트워크영업, 서비스기획, 서버관리, 암호화폐, 음성인식, 클라우드아키텍트, 클라이언트, 검증, 네트워크관리, 소프트웨어개발, 가상현실, 핀테크, HTTP, 데이터파이프라인, 국내영업, 모델링, DB튜닝, 메타버스",신입·경력,대졸↑,서울서초구,정규직,,,
2,2023년 하반기 부문별 채용공고,/Recruit/GI_Read/42970506?rPageCode=PL&logpath=21,㈜시몬스,"['신입·경력1년↑', '경기이천시외', '정규직외']","고객관리, 관리회계, 창고관리, 건축설계, A·S수리, 재고관리, 건축시공, 물류센터, 소방·방재, 브랜딩, 회계감사, 3D설계, 가구디자인, 리테일MD, 배차, 상품입출고, 설치, 재고관리, 네트워크관리, 바이럴마케팅, VMD, 결산, 매출관리, 산업안전, 상품기획, 현장감리, 면접·채용, 판매관리, 납품기사, 브랜드기획, 가구판매, 프로모션, 가구, 보세운송, 상품입출고, 외자구매, 자재구매, 2D설계, 서버관리, 시장분석, 전시디자인, 환경관리, 원가회계, 전산회계",신입·경력1년↑,경기이천시외,정규직외,,,,
3,금융 application architect,/Recruit/GI_Read/42976135?rPageCode=PL&logpath=21,메타넷디지털㈜,"['경력10년↑', '학력무관', '경기수원시', '정규직']","아키텍처, AA",경력10년↑,학력무관,경기수원시,정규직,,,
4,ATS Cloud/Infra DB 엔지니어,/Recruit/GI_Read/42969918?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시', '정규직']","네트워크관리, 클라우드개발자",경력3년↑,학력무관,경기성남시,정규직,,,
5,[엠포스] 백엔드 개발자 경력직 채용,/Recruit/GI_Read/42977964?rPageCode=PL&logpath=21,(주)엠포스,"['경력3년↑', '초대졸↑', '서울서초구', '정규직', '팀원']","온라인광고, 광고기획, 광고제작, 광고대행",경력3년↑,초대졸↑,서울서초구,정규직,팀원,,
6,ATS Network/VMware 엔지니어,/Recruit/GI_Read/42969941?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시외', '정규직']",서버구축,경력3년↑,학력무관,경기성남시외,정규직,,,
7,ATS VDI 구축/운영,/Recruit/GI_Read/42969900?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시외', '정규직']","서버구축, 서버관리",경력3년↑,학력무관,경기성남시외,정규직,,,
8,ATS Oracle DB 운영,/Recruit/GI_Read/42969930?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시외', '정규직']",DBMS,경력3년↑,학력무관,경기성남시외,정규직,,,
9,2023년 10월 경력채용 (IT개발/대관/정보보안/소비자보호),/Recruit/GI_Read/42975487?rPageCode=PL&logpath=21,㈜우리홈쇼핑,"['경력1년↑', '학력무관', '서울영등포구', '정규직']","유통, 판매, 홈쇼핑, 시장분석, SNS마케팅, 고객관리, 매출관리, 프로모션, IMC, 디지털마케팅, 언론홍보, 오프라인마케팅, 이벤트기획, 서버관리, 클라이언트, SI개발, 시스템분석, 시스템설계, 펌웨어, 서버관리, 네트워크관리, 정보보안, 시스템분석, 시스템설계, SI개발, 고객지원, 고객경험관리, 고객응대, 고객안내, 정보통신·IT",경력1년↑,학력무관,서울영등포구,정규직,,,
