,년,월,제목,부제목,링크,작가,출판사,출판일,가격,리뷰,리뷰링크,별점,태그
0,2023,8,엄마 수업,이 세상 모든 엄마에게 보내는 법륜 스님의 선물,https://www.yes24.com//Product/Goods/121127419,['법륜'],정토출판,2023년 08월,"15,120원",2,https://www.yes24.com/Product/Goods/121127419?ReviewYn=Y,10.0,['#이달의굿즈']
1,2023,8,코미 양은 커뮤증입니다 27 ,,https://www.yes24.com//Product/Goods/120503055,['오다 토모히토'],소미미디어,2023년 08월,"5,400원",2,https://www.yes24.com/Product/Goods/120503055?ReviewYn=Y,10.0,[]
2,2023,8,2023 박문각 공인중개사 최성진 부동산공법 비교정리특강,제34회 공인중개사 시험 대비,https://www.yes24.com//Product/Goods/118978557,['최성진'],박문각,2023년 05월,"11,700원",6,https://www.yes24.com/Product/Goods/118978557?ReviewYn=Y,10.0,[]
3,2023,8,슬램덩크 신장재편판 4,첫 시합 능남전 2,https://www.yes24.com//Product/Goods/62921895,['이노우에 타케히코'],대원,2018년 08월,"6,300원",93,https://www.yes24.com/Product/Goods/62921895?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화']"
4,2023,8,슬램덩크 신장재편판 3,첫 시합 능남전 1,https://www.yes24.com//Product/Goods/62921746,['이노우에 타케히코'],대원,2018년 08월,"6,300원",107,https://www.yes24.com/Product/Goods/62921746?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화']"
5,2023,8,치유를 파는 찻집,,https://www.yes24.com//Product/Goods/121808173,['모리사와 아키오'],북플라자,2023년 08월,"15,120원",7,https://www.yes24.com/Product/Goods/121808173?ReviewYn=Y,10.0,[]
6,2023,8,2024 선재국어 수비니겨 문법과 규범,,https://www.yes24.com//Product/Goods/120169141,['이선재'],에스티유니타스,2023년 07월,"11,700원",7,https://www.yes24.com/Product/Goods/120169141?ReviewYn=Y,10.0,['#분철']
7,2023,8,열방약국 말기암 통합요법 상담소,"말기암, 전이암의 뿌리를 캐내고 암세포를 정상세포로 만드는 놀라운 경험!",https://www.yes24.com//Product/Goods/116962676,['김훈하'],리더북스,2023년 01월,"13,500원",16,https://www.yes24.com/Product/Goods/116962676?ReviewYn=Y,9.8,['#크레마클럽에있어요']
8,2023,8,고양이 해결사 깜냥 4,눈썰매장을 씽씽 달려라!,https://www.yes24.com//Product/Goods/105981214,['홍민정'],창비,2022년 01월,"9,900원",38,https://www.yes24.com/Product/Goods/105981214?ReviewYn=Y,9.8,"['#최신작알림신청인기작가', '#고양이가세상을구원할거야']"
9,2023,8,슬램덩크 신장재편판 6,북산 문제아 군단,https://www.yes24.com//Product/Goods/62921999,['이노우에 타케히코'],대원,2018년 08월,"6,300원",93,https://www.yes24.com/Product/Goods/62921999?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화']"
10,2023,8,"괜찮아, 그 길 끝에 행복이 기다릴 거야",흔들리고 지친 이들에게 산티아고가 보내는 응원,https://www.yes24.com//Product/Goods/118144678,['손미나'],코알라컴퍼니,2023년 04월,"17,100원",49,https://www.yes24.com/Product/Goods/118144678?ReviewYn=Y,9.6,[]
11,2023,8,미국엄마와 함께하는 리얼 엄마표 영어,아이와 일상생활을 원어민 영어로!,https://www.yes24.com//Product/Goods/122092968,['김캐서린'],노란우산,2023년 09월,"17,550원",10,https://www.yes24.com/Product/Goods/122092968?ReviewYn=Y,10.0,"['#자녀교육', '#영어홈스쿨', '#초등영어', '#엄마표영어', '#이달의굿즈']"
12,2023,8,불꽃인생,,https://www.yes24.com//Product/Goods/121959505,['김병갑'],봄이야기,2023년 09월,"14,250원",57,https://www.yes24.com/Product/Goods/121959505?ReviewYn=Y,10.0,[]
13,2023,8,할머니와 나의 사계절 요리학교,할머니의 손맛과 손녀의 손길로 완성되는 소박한 채식 밥상,https://www.yes24.com//Product/Goods/120222145,['예하'],수오서재,2023년 07월,"19,800원",8,https://www.yes24.com/Product/Goods/120222145?ReviewYn=Y,9.9,"['#집밥레시피', '#계절따라제철요리']"
14,2023,8,블루 아카이브 오피셜 아트웍스 한정판 ,,https://www.yes24.com//Product/Goods/119709825,['신민섭'],학산문화사,2023년 08월,"88,200원",4,https://www.yes24.com/Product/Goods/119709825?ReviewYn=Y,9.3,[]
15,2023,8,쓰이는 영문법 2,,https://www.yes24.com//Product/Goods/118922418,['김수영'],길벗이지톡,2023년 05월,"18,900원",7,https://www.yes24.com/Product/Goods/118922418?ReviewYn=Y,9.6,"['#분철', '#영문법고민끝내드려요']"
16,2023,8,오늘부터 배프! 베프!,,https://www.yes24.com//Product/Goods/103616546,['지안'],문학동네,2021년 09월,"9,000원",20,https://www.yes24.com/Product/Goods/103616546?ReviewYn=Y,9.9,"['#2022아침독서추천도서', '#2021서울국제도서전', '#문학동네어린이문학상수상작', '#성장동화']"
17,2023,8,슬램덩크 신장재편판 11,북산 vs. 능남 1,https://www.yes24.com//Product/Goods/64724550,['이노우에 타케히코'],대원,2018년 10월,"6,300원",75,https://www.yes24.com/Product/Goods/64724550?ReviewYn=Y,9.7,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
18,2023,8,우리는 언제나 다시 만나,,https://www.yes24.com//Product/Goods/43862350,['윤여림'],위즈덤하우스,2017년 07월,"10,800원",238,https://www.yes24.com/Product/Goods/43862350?ReviewYn=Y,9.8,"['#엄마공감', '#부모님과함께읽기좋은책', '#감동', '#분리불안']"
19,2023,8,스즈키 바이올린 교본 1,Violin Part 1,https://www.yes24.com//Product/Goods/3645472,None,세광음악출판사,2009년 12월,"10,800원",44,https://www.yes24.com/Product/Goods/3645472?ReviewYn=Y,9.6,['#악기']
20,2023,8,불량한 자전거 여행 ,,https://www.yes24.com//Product/Goods/3486146,['김남중'],창비,2009년 07월,"9,720원",87,https://www.yes24.com/Product/Goods/3486146?ReviewYn=Y,9.6,"['#성장동화', '#자전거여행', '#로드무비']"
21,2023,8,글루코스 혁명,좋아하는 음식을 즐기면서 과학적으로 체중을 줄이는 10가지 방법,https://www.yes24.com//Product/Goods/110583033,['제시 인차우스페'],아침사과,2022년 07월,"16,200원",20,https://www.yes24.com/Product/Goods/110583033?ReviewYn=Y,9.8,[]
22,2023,8,페스트,,https://www.yes24.com//Product/Goods/4827619,['알베르 까뮈'],민음사,2011년 03월,"12,600원",123,https://www.yes24.com/Product/Goods/4827619?ReviewYn=Y,9.1,"['#세계문학', '#북클러버의선택', '#KBS2TV북유럽', '#노벨상수상자', '#20세기고전']"
23,2023,8,"주식, 디지털 자산, 연금, 자산 투자 가이드",,https://www.yes24.com//Product/Goods/120494918,['천백만(배용국)'],두드림미디어,2023년 08월,"17,100원",23,https://www.yes24.com/Product/Goods/120494918?ReviewYn=Y,9.7,[]
24,2023,8,사랑할 기회,,https://www.yes24.com//Product/Goods/117632520,['박근호'],히읏,2023년 02월,"15,030원",9,https://www.yes24.com/Product/Goods/117632520?ReviewYn=Y,10.0,[]
25,2023,8,가짜 모범생,,https://www.yes24.com//Product/Goods/104086378,['손현주'],특별한서재,2021년 10월,"10,800원",92,https://www.yes24.com/Product/Goods/104086378?ReviewYn=Y,9.5,"['#크레마클럽에있어요', '#2022포천시올해의책', '#2022아침독서추천도서', '#남과같지않아도괜찮아', '#청소년']"
26,2023,8,여름의 빌라,,https://www.yes24.com//Product/Goods/91053468,['백수린'],문학동네,2020년 07월,"13,320원",67,https://www.yes24.com/Product/Goods/91053468?ReviewYn=Y,8.9,"['#2021젊은작가TOP5', '#내맘대로올해의책', '#한국일보문학상', '#여름맛', '#책읽아웃']"
27,2023,8,ETS 토익 정기시험 기출문제집 1000 Vol.1 LISTENING(리스닝),,https://www.yes24.com//Product/Goods/67211652,['ETS'],YBM(와이비엠),2018년 12월,"16,020원",103,https://www.yes24.com/Product/Goods/67211652?ReviewYn=Y,9.4,"['#분철', '#토익만점기출로잡는다', '#신유형반영', '#연습을실전처럼', '#너만알려줄게고득점비법']"
28,2023,8,한밤중 달빛 식당,,https://www.yes24.com//Product/Goods/59272030,['이분희'],비룡소,2018년 03월,"10,800원",145,https://www.yes24.com/Product/Goods/59272030?ReviewYn=Y,9.6,"['#독서지도안', '#비룡소문학상', '#2019경남독서한마당선정도서', '#상상력', '#힐링그림책']"
29,2023,8,바깥은 여름,,https://www.yes24.com//Product/Goods/42798224,['김애란'],문학동네,2017년 06월,"13,050원",204,https://www.yes24.com/Product/Goods/42798224?ReviewYn=Y,9.1,"['#영화드라마원작', '#MD의구매리스트', '#동인문학상수상작', '#표지예쁜책', '#긴여운']"
30,2023,8,리얼리티 트랜서핑 2,성공의 물결로 갈아타는 선택의 비밀,https://www.yes24.com//Product/Goods/3334740,['바딤 젤란드'],정신세계사,2009년 03월,"9,900원",20,https://www.yes24.com/Product/Goods/3334740?ReviewYn=Y,9.6,[]
31,2023,8,있을 법한 모든 것,,https://www.yes24.com//Product/Goods/120221539,['구병모'],문학동네,2023년 07월,"13,500원",6,https://www.yes24.com/Product/Goods/120221539?ReviewYn=Y,9.0,"['#가족에대하여', '#장르를넘나드는', '#소통', '#언어의힘', '#넘치는상상력']"
32,2023,8,기후 책,그레타 툰베리가 세계 지성들과 함께 쓴 기후위기 교과서,https://www.yes24.com//Product/Goods/119700330,['그레타 툰베리'],김영사,2023년 06월,"29,700원",12,https://www.yes24.com/Product/Goods/119700330?ReviewYn=Y,9.8,"['#환경과학', '#환경문제', '#기후변화', '#기후위기']"
33,2023,8,당신은 사건 현장에 있습니다 시즌2,,https://www.yes24.com//Product/Goods/118268125,['모데스토 가르시아'],중앙북스(books),2023년 04월,"25,200원",7,https://www.yes24.com/Product/Goods/118268125?ReviewYn=Y,9.8,[]
34,2023,8,용의자 X의 헌신,,https://www.yes24.com//Product/Goods/45353675,['히가시노 게이고'],재인,2017년 08월,"15,120원",93,https://www.yes24.com/Product/Goods/45353675?ReviewYn=Y,9.4,"['#등골서늘한추리스릴러', '#반전', '#나오키상수상작', '#영화드라마원작']"
35,2023,8,공부머리의 발견,,https://www.yes24.com//Product/Goods/121533139,['심정섭'],거인의정원,2023년 08월,"26,100원",1,https://www.yes24.com/Product/Goods/121533139?ReviewYn=Y,8.0,[]
36,2023,8,챗GPT 영어 혁명,지금 바로 0원으로 AI와 함께 떠나는 어학연수,https://www.yes24.com//Product/Goods/121127954,['김영익'],동양북스(동양books),2023년 07월,"14,220원",99,https://www.yes24.com/Product/Goods/121127954?ReviewYn=Y,9.7,[]
37,2023,8,체인소 맨 13 ,,https://www.yes24.com//Product/Goods/118470231,['후지모토 타츠키'],학산문화사,2023년 04월,"5,400원",56,https://www.yes24.com/Product/Goods/118470231?ReviewYn=Y,9.8,[]
38,2023,8,슈뻘맨의 숨은 과학 찾기 1,엉뚱 도전 속에 숨은 과학 상식,https://www.yes24.com//Product/Goods/117971339,['슈뻘맨'],미래엔아이세움,2023년 03월,"12,600원",44,https://www.yes24.com/Product/Goods/117971339?ReviewYn=Y,10.0,"['#과학적문제해결', '#과학궁금증', '#학습만화', '#유튜브로배운과학', '#유튜버']"
39,2023,8,흔한남매의 흔한 호기심 8,,https://www.yes24.com//Product/Goods/116901029,['흔한남매'],미래엔아이세움,2023년 01월,"12,600원",54,https://www.yes24.com/Product/Goods/116901029?ReviewYn=Y,9.8,"['#상식채우기', '#재미있는과학', '#호기심', '#유튜버', '#학습만화']"
