,년,월,제목,부제목,링크,작가,출판사,출판일,가격,리뷰,리뷰링크,별점,태그,book_id
0,2023,8,세이노의 가르침,,https://www.yes24.com//Product/Goods/117014613,['세이노(SayNo)'],데이원,2023년 03월,"6,480원",299,https://www.yes24.com/Product/Goods/117014613?ReviewYn=Y,9.1,"['#성공신화', '#성공하고싶다면', '#삶이고민될때', '#인생지침서', '#크레마클럽에있어요']",117014613
1,2023,8,1%를 읽는 힘,,https://www.yes24.com//Product/Goods/121812955,['메르'],토네이도,2023년 08월,"19,800원",45,https://www.yes24.com/Product/Goods/121812955?ReviewYn=Y,10.0,"['#이달의굿즈', '#이달의주목신간', '#얼리리더', '#투자가이드', '#1분만투자하세요']",121812955
2,2023,8,아메리칸 프로메테우스 (특별판),로버트 오펜하이머 평전,https://www.yes24.com//Product/Goods/119650815,['카이 버드'],사이언스북스,2023년 06월,"22,500원",34,https://www.yes24.com/Product/Goods/119650815?ReviewYn=Y,9.2,"['#이달의굿즈', '#영화드라마원작', '#과학_물화생지', '#빛나는평전', '#과학자']",119650815
3,2023,8,문과 남자의 과학 공부,나는 무엇이고 왜 존재하며 어디로 가는가?,https://www.yes24.com//Product/Goods/119608737,['유시민'],돌베개,2023년 06월,"15,750원",118,https://www.yes24.com/Product/Goods/119608737?ReviewYn=Y,9.2,"['#이달의굿즈', '#재미있는과학', '#과학입문', '#교양과학']",119608737
4,2023,8,도둑맞은 집중력,"집중력 위기의 시대, 삶의 주도권을 되찾는 법",https://www.yes24.com//Product/Goods/118579613,['요한 하리'],어크로스,2023년 04월,"16,920원",109,https://www.yes24.com/Product/Goods/118579613?ReviewYn=Y,9.2,"['#이달의굿즈', '#집중맞은도둑력', '#책읽아웃', '#사회비판', '#사회의이면']",118579613
5,2023,8,이토록 공부가 재미있어지는 순간,공부에 지친 청소년들을 위한 힐링 에세이,https://www.yes24.com//Product/Goods/16384156,['박성혁'],다산북스,2023년 08월,"16,200원",354,https://www.yes24.com/Product/Goods/16384156?ReviewYn=Y,9.4,"['#독서지도안', '#공부는왜할까?', '#북클러버의선택', '#일생의기술', '#공부법']",16384156
6,2023,8,도시와 그 불확실한 벽,,https://www.yes24.com//Product/Goods/122090075,['무라카미 하루키'],문학동네,2023년 09월,"17,550원",31,https://www.yes24.com/Product/Goods/122090075?ReviewYn=Y,8.9,"['#문학뉴스레터에소개된책', '#이달의굿즈', '#하루키신드롬', '#하루키월드', '#오랜만이에요작가님']",122090075
7,2023,8,역행자 확장판,돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,https://www.yes24.com//Product/Goods/119120517,['자청'],웅진지식하우스,2023년 05월,"17,550원",127,https://www.yes24.com/Product/Goods/119120517?ReviewYn=Y,9.6,"['#이달의굿즈', '#크레마클럽에있어요', '#성공학', '#성공의공식', '#성공하는사업의비결']",119120517
8,2023,8,아주 희미한 빛으로도,,https://www.yes24.com//Product/Goods/120761010,['최은영'],문학동네,2023년 08월,"15,120원",37,https://www.yes24.com/Product/Goods/120761010?ReviewYn=Y,9.8,"['#얼리리더', '#이달의굿즈', '#사회의이면', '#오랜만이에요작가님', '#아름다운문장']",120761010
9,2023,8,최소한의 한국사,5천 년 역사가 단숨에 이해되는,https://www.yes24.com//Product/Goods/119458052,['최태성'],프런트페이지,2023년 06월,"16,200원",60,https://www.yes24.com/Product/Goods/119458052?ReviewYn=Y,9.9,"['#다시읽는역사', '#교과서에없는역사', '#ㅁㅁ로읽는역사', '#잊지말아야할역사', '#역사지식']",119458052
10,2023,8,메리골드 마음 세탁소,,https://www.yes24.com//Product/Goods/117716170,['윤정은'],북로망스,2023년 03월,"13,500원",103,https://www.yes24.com/Product/Goods/117716170?ReviewYn=Y,9.2,"['#이달의굿즈', '#마음을전해요', '#소설로읽는마법의세계', '#후회없는삶', '#위로의말']",117716170
11,2023,8,아홉 살에 시작하는 똑똑한 초등신문,초등학생이 꼭 알아야 하는 최신 뉴스,https://www.yes24.com//Product/Goods/118413014,['신효원'],책장속북스,2023년 05월,"15,750원",77,https://www.yes24.com/Product/Goods/118413014?ReviewYn=Y,9.8,"['#독서지도안', '#상식채우기', '#어린이지식교양', '#초등교양']",118413014
12,2023,8,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,,https://www.yes24.com//Product/Goods/105384881,['ETS'],YBM(와이비엠),2021년 12월,"16,020원",125,https://www.yes24.com/Product/Goods/105384881?ReviewYn=Y,9.6,"['#분철', '#토익만점기출로잡는다']",105384881
13,2023,8,2023 박문각 공인중개사 김덕수 최종요약서 1차 민법·민사특별법,,https://www.yes24.com//Product/Goods/121191993,['김덕수'],박문각,2023년 08월,"15,300원",5,https://www.yes24.com/Product/Goods/121191993?ReviewYn=Y,9.6,"['#분철', '#공인중개사교재', '#공인중개사파이널']",121191993
14,2023,8,주술회전 23 더블특장판,별과 기름,https://www.yes24.com//Product/Goods/121961023,['아쿠타미 게게'],서울미디어코믹스(서울문화사),2023년 08월,"5,400원",33,https://www.yes24.com/Product/Goods/121961023?ReviewYn=Y,10.0,[],121961023
15,2023,8,ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝  ,,https://www.yes24.com//Product/Goods/105384874,['ETS'],YBM(와이비엠),2021년 12월,"16,020원",121,https://www.yes24.com/Product/Goods/105384874?ReviewYn=Y,9.6,"['#분철', '#토익만점기출로잡는다']",105384874
16,2023,8,위기의 역사,외환위기부터 인플레이션의 부활까지 경제위기의 생성과 소멸,https://www.yes24.com//Product/Goods/120163724,['오건영'],페이지2,2023년 07월,"25,200원",88,https://www.yes24.com/Product/Goods/120163724?ReviewYn=Y,9.9,"['#얼리리더', '#이달의굿즈', '#미래전망', '#금융위기', '#경제사']",120163724
17,2023,8,[예스리커버] 아기 판다 푸바오,,https://www.yes24.com//Product/Goods/120253399,['에버랜드 동물원'],시공주니어,2023년 07월,"18,000원",63,https://www.yes24.com/Product/Goods/120253399?ReviewYn=Y,9.9,"['#아기동물성장기', '#푸바오_생일축하해', '#한정판매중', '#예스리커버', '#판다를판다']",120253399
18,2023,8,더 플로,시대의 운명을 내다본 사람이 부를 거머쥔다,https://www.yes24.com//Product/Goods/119512317,['안유화'],경이로움,2023년 08월,"18,900원",19,https://www.yes24.com/Product/Goods/119512317?ReviewYn=Y,9.2,"['#이달의굿즈', '#부자되는법', '#똑똑하게투자하기', '#미래전망']",119512317
19,2023,8,2023 박문각 공인중개사 박윤모 최종요약서 2차 부동산공시법령,,https://www.yes24.com//Product/Goods/121511028,['박윤모'],박문각,2023년 08월,"11,700원",0,None,0,"['#분철', '#공인중개사교재', '#공인중개사파이널']",121511028
20,2023,8,돈의 속성 300쇄 리커버,,https://www.yes24.com//Product/Goods/90428162,['김승호'],스노우폭스북스,2020년 06월,"16,020원",372,https://www.yes24.com/Product/Goods/90428162?ReviewYn=Y,9.3,"['#주식투자입문', '#주식초보', '#다시보는2020', '#올해의책', '#금융문맹탈출']",90428162
21,2023,8,그럴 수 있어,양희은 에세이 ,https://www.yes24.com//Product/Goods/119878154,['양희은'],웅진지식하우스,2023년 07월,"15,120원",34,https://www.yes24.com/Product/Goods/119878154?ReviewYn=Y,9.8,"['#크레마클럽에있어요', '#책읽아웃']",119878154
22,2023,8,2023 에듀윌 공인중개사 오시훈 필살키 최종이론&마무리100선 부동산공법,,https://www.yes24.com//Product/Goods/121575249,['오시훈'],에듀윌,2023년 08월,"12,600원",8,https://www.yes24.com/Product/Goods/121575249?ReviewYn=Y,10.0,"['#분철', '#공인중개사파이널', '#공인중개사교재']",121575249
23,2023,8,2023 박문각 공인중개사 정지웅 최종요약서 2차 공인중개사법·중개실무,,https://www.yes24.com//Product/Goods/121176251,['정지웅'],박문각,2023년 07월,"14,400원",4,https://www.yes24.com/Product/Goods/121176251?ReviewYn=Y,9.1,"['#분철', '#공인중개사교재', '#공인중개사파이널']",121176251
24,2023,8,긴긴밤,,https://www.yes24.com//Product/Goods/97255028,['루리'],문학동네,2021년 02월,"10,350원",366,https://www.yes24.com/Product/Goods/97255028?ReviewYn=Y,9.8,"['#대장금_출판사대표추천도서', '#독서지도안', '#북클러버의선택', '#2022아침독서추천도서', '#내맘대로올해의책']",97255028
25,2023,8,모든 삶은 흐른다,삶의 지표가 필요한 당신에게 바다가 건네는 말,https://www.yes24.com//Product/Goods/118104953,['로랑스 드빌레르'],피카(FIKA),2023년 04월,"15,120원",78,https://www.yes24.com/Product/Goods/118104953?ReviewYn=Y,9.4,"['#이달의굿즈', '#바다인문학', '#크레마클럽에있어요', '#인문학의쓸모', '#깊은에세이']",118104953
26,2023,8,원씽 THE ONE THING,복잡한 세상을 이기는 단순함의 힘,https://www.yes24.com//Product/Goods/9349031,['게리 켈러'],비즈니스북스,2013년 08월,"12,600원",243,https://www.yes24.com/Product/Goods/9349031?ReviewYn=Y,9.1,"['#스페셜에디션', '#성공하고싶다면', '#일하는방식', '#생활습관', '#국립중앙도서관사서추천']",9349031
27,2023,8,우리는 모두 죽는다는 것을 기억하라,,https://www.yes24.com//Product/Goods/82287934,['웨인 다이어'],토네이도,2019년 11월,"15,300원",40,https://www.yes24.com/Product/Goods/82287934?ReviewYn=Y,9.1,"['#지혜롭게살기', '#삶의기술', '#삶의목적세우기', '#삶의자세']",82287934
28,2023,8,흔한남매 이무기 1,이해하면 무서운 이야기,https://www.yes24.com//Product/Goods/120494987,['흔한남매'],미래엔아이세움,2023년 07월,"13,050원",50,https://www.yes24.com/Product/Goods/120494987?ReviewYn=Y,10.0,"['#코믹/개그물', '#코믹호러']",120494987
29,2023,8,꿀벌의 예언 1,,https://www.yes24.com//Product/Goods/119609441,['베르나르 베르베르'],열린책들,2023년 06월,"15,120원",109,https://www.yes24.com/Product/Goods/119609441?ReviewYn=Y,9.6,"['#이달의굿즈', '#크레마클럽에있어요']",119609441
30,2023,8,김재우의 영어회화 100,원어민처럼 말하는 진짜 영어회화 ,https://www.yes24.com//Product/Goods/119882948,['김재우'],상상스퀘어,2023년 07월,"19,800원",6,https://www.yes24.com/Product/Goods/119882948?ReviewYn=Y,9.6,"['#분철', '#여행가서한마디', '#누구나영어할수있다', '#영어공부']",119882948
31,2023,8,2023 박문각 공인중개사 최성진 최종요약서 2차 부동산공법,,https://www.yes24.com//Product/Goods/121776751,['최성진'],박문각,2023년 08월,"17,100원",0,None,0,"['#공인중개사파이널', '#공인중개사교재']",121776751
32,2023,8,슈퍼노멀,폭발적 성과를 만드는 평범한 사람들,https://www.yes24.com//Product/Goods/121911662,['주언규'],웅진지식하우스,2023년 08월,"17,550원",33,https://www.yes24.com/Product/Goods/121911662?ReviewYn=Y,9.6,['#얼리리더'],121911662
33,2023,8,내면소통,삶의 변화를 가져오는 마음근력 훈련,https://www.yes24.com//Product/Goods/117643865,['김주환'],인플루엔셜,2023년 02월,"29,700원",49,https://www.yes24.com/Product/Goods/117643865?ReviewYn=Y,9.2,"['#회복탄력성', '#마음챙김', '#마음근력']",117643865
34,2023,8,최민준의 아들코칭 백과,"기질 파악부터 말공부, 사회성, 감정코칭까지",https://www.yes24.com//Product/Goods/122103181,['최민준'],위즈덤하우스,2023년 08월,"16,920원",10,https://www.yes24.com/Product/Goods/122103181?ReviewYn=Y,9.7,"['#육아고수노하우', '#자녀교육', '#아들키우기']",122103181
35,2023,8,2023 에듀윌 공인중개사 김민석 필살키 최종이론&마무리100선 부동산공시법,,https://www.yes24.com//Product/Goods/121575225,['김민석'],에듀윌,2023년 08월,"11,700원",8,https://www.yes24.com/Product/Goods/121575225?ReviewYn=Y,10.0,"['#분철', '#공인중개사교재', '#공인중개사파이널']",121575225
36,2023,8,2023 박문각 공인중개사 김백중 최종요약서 1차 부동산학개론,,https://www.yes24.com//Product/Goods/121552768,['김백중'],박문각,2023년 08월,"15,300원",0,None,0,"['#분철', '#공인중개사교재', '#공인중개사파이널']",121552768
37,2023,8,디케의 눈물,대한검국에 맞선 조국의 호소,https://www.yes24.com//Product/Goods/122091079,['조국'],다산북스,2023년 08월,"16,920원",17,https://www.yes24.com/Product/Goods/122091079?ReviewYn=Y,9.3,"['#법은정의로운가', '#법을바라보는법']",122091079
38,2023,8,2023 에듀윌 공인중개사 심정욱 필살키 최종이론&마무리100선 민법 및 민사특별법,,https://www.yes24.com//Product/Goods/121575230,['심정욱'],에듀윌,2023년 08월,"11,700원",8,https://www.yes24.com/Product/Goods/121575230?ReviewYn=Y,10.0,"['#분철', '#공인중개사파이널', '#공인중개사교재']",121575230
39,2023,8,하늘과 바람과 별과 인간,원자에서 인간까지,https://www.yes24.com//Product/Goods/118680704,['김상욱'],바다출판사,2023년 05월,"16,020원",34,https://www.yes24.com/Product/Goods/118680704?ReviewYn=Y,9.7,"['#교양쌓기', '#과학_물화생지', '#물리공부', '#물리', '#알쓸신잡']",118680704
40,2023,8,부자의 그릇,돈을 다루는 능력을 키우는 법,https://www.yes24.com//Product/Goods/96087459,['이즈미 마사토'],다산북스,2020년 12월,"13,500원",142,https://www.yes24.com/Product/Goods/96087459?ReviewYn=Y,9.4,"['#편집자의시대_편집자가만든책', '#크레마클럽에있어요', '#돈좀벌어보자', '#돈이란무엇인가', '#돈구경시켜드릴게']",96087459
41,2023,8,최애의 아이 11 ,,https://www.yes24.com//Product/Goods/120760865,['아카사카 아카'],대원,2023년 07월,"5,400원",31,https://www.yes24.com/Product/Goods/120760865?ReviewYn=Y,10.0,[],120760865
42,2023,8,꿀벌의 예언 2,,https://www.yes24.com//Product/Goods/119609465,['베르나르 베르베르'],열린책들,2023년 06월,"15,120원",81,https://www.yes24.com/Product/Goods/119609465?ReviewYn=Y,9.6,['#크레마클럽에있어요'],119609465
