링크,회사명,법인명,채용내용,태그,뱃지,근무지,모집구분,학력조건
/zf_user/jobs/relay/view?view_type=list&rec_idx=46575670&adsCategoryItem=effect_bold&,(주)싸이몬,None,㈜싸이몬 2023 하반기 공개 채용,"['ERPH', 'W실적관리영업관리영업지원 외']",인기있는,경기 용인시 외,신입 · 경력 · 정규직 외,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636981&adsCategoryItem=effect_bold&,(주)빅픽처팀,None,"[빅픽처팀] 각 부문별 신입 및 경력 수시채용(광고, IP)",['Javascript사이트관리콘텐츠관리광고영업매체영업 외'],인기있는,서울 강남구 외,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46639423,(주)비욘드테크,비욘드테크그룹,웹 개발자 팀장(경력) 채용 (10년 이상),"['백엔드', '서버개발웹개발퍼블리셔프론트엔드Java 외']",취업축하금,서울전체 외,10 ~ 15년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46637675,롯데바이오로직스(주),롯데그룹,2023년 9월 롯데바이오로직스 경력사원 2차채용,['보안컨설팅정보보안인프라SAP전산회계 외'],대기업 인기 TOP100,서울 송파구 외,경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46197525&adsCategoryItem=effect_bold&,(주)발렉스서비스,팬택씨앤아이그룹,[이천SK하이닉스 근무] 산업보안요원 4조3교대 정규직 채용,['보안컨설팅유지보수정보보안경비원경비지도사 외'],생산 지원 급상승,경기 이천시 외,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46538824&adsCategoryItem=effect_bold&,씨제이포디플렉스(주),씨제이그룹,CJ그룹 23년 하반기 CJ 4DPLEX 신입 사원 모집,['AI(인공지능)AIXC#C++Python 외'],인기있는,서울 용산구 외,신입 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46533550,(주)에스티에이테스팅컨설팅,None,[ISTQB 교육/자격시험 지원]SW 테스트 엔지니어 모집(각 부문),"['게임개발기술지원데이터분석가데이터엔지니어백엔드', '서버개발 외']",스타트업,서울 강남구 외,경력 3년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46605207&adsCategoryItem=effect_bold&,(주)유니테스트,유니테스트그룹,㈜유니테스트 각 부문 신입 및 경력 채용,"['백엔드', '서버개발앱개발유지보수QA', '테스터SE(시스템엔지니어) 외']",인기있는,경기 용인시 기흥구 외,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46611902&adsCategoryItem=effect_bold&,에이치디현대글로벌기술서비스(주),HD현대그룹,[HD현대글로벌기술서비스]'23년 하반기 경력사원 채용,"['기술지원선박A', 'S기사기술엔지니어설계엔지니어 외']",건설·건축 지원 TOP100,부산전체 외,경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46601345&adsCategoryItem=effect_bold&,(주)재상피앤에스,None,(경남형 청년친화기업) 하반기 개발자 및 영업팀 경력자 모집,['SI개발.NETAjaxC#jQuery 외'],워라밸,경남 창원시,경력 5년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635212,삼일제약(주),None,삼일제약㈜ 각 부문별 신입/경력사원 모집,['SAP전산회계관리회계기업회계법인결산 외'],마케팅·홍보·조사 스크랩 TOP100,서울 서초구 외,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636281&adsCategoryItem=effect_bold&,(주)강원랜드,강원랜드그룹,2023년 하반기 경력직·개방형직위 채용 공고,['게임개발데이터분석가딥러닝머신러닝Python 외'],인기있는,강원 정선군 외,경력 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638208,베이스라인파트너스(주),None,구매 솔루션 사용 담당자 채용[신입],['SAP구매관리구매기획SCM개발구매 외'],취업축하금,서울 강서구 외,신입 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46627766&adsCategoryItem=effect_bold&,(주)이미인,아이엠엠그룹,㈜이미인 부문별 채용(품질관리/생산관리/연구/연구보조),['네트워크연구원실험보조의약외품연구제제연구 외'],연구·R&D 지원 TOP100,경기 오산시,신입 · 경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635899,이퓨월드,None,3D 모델러 경력직 채용,['모델링VR(가상현실)Unreal3D디자인VFX 외'],취업축하금,경남 창원시 외,경력 2년↑ · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638754,올거나이즈코리아(주),None,Customer Success Manager - 경력,"['기술지원데이터엔지니어유지보수정보보안QA', '테스터 외']",취업축하금,서울 강남구 외,경력 3년↑ · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46626279,교보생명보험(주),교보생명보험그룹,신입사원 채용 및 채용연계형 인턴 모집 공고,"['데이터분석가데이터엔지니어백엔드', '서버개발웹개발웹마스터 외']",1000대기업 인기 TOP100,전국,신입 · 정규직 외,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638204,(주)엔스테이지,None,로컬라제이션 담당자 채용,"['GM(게임운영)통', '번역영어게임개발']",취업축하금,경기 성남시 수정구 외,신입 · 경력 · 계약직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46637326,(주)필드에스,None,AI 모델 개발자 신입/경력 채용,['딥러닝머신러닝음성인식AI(인공지능)AWS 외'],취업축하금,서울 송파구 외,신입 · 경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46503258,(주)헥토이노베이션,헥토이노베이션그룹,헥토이노베이션 직군별 인재 모집,"['데이터분석가백엔드', '서버개발앱개발웹개발웹마스터 외']",IT개발·데이터 지원 TOP100,서울 강남구 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46638340,모바일웍스코리아(주),None,웹/앱 퍼블리셔 팀장급 채용,['앱개발웹개발퍼블리셔프론트엔드CSS 외'],취업축하금,서울 구로구 외,5 ~ 20년 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46542118&adsCategoryItem=effect_bold&,(주)제스파,None,[제스파] QC 품질관리 직원채용(경기도 광주),['CISO대형마트생산관리품질검사원품질분석 외'],100명 이상,경기 광주시,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46627438&adsCategoryItem=effect_bold&,(주)광주은행,JB금융그룹,2023년 광주은행 전문/일반 계약직 수시 채용,['CSSHTMLJavaJavascriptJSP 외'],건설·건축 지원 급상승,광주 동구 외,신입 · 경력 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46609356&adsCategoryItem=effect_bold&,㈜선일다이파스,None,[자동차부품 1차업체] 선일다이파스 경력사원 모집,"['유지보수ERPS', 'W기술영업해외영업 외']",인기있는,충북 진천군,경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46620056&adsCategoryItem=effect_bold&,(의)케이씨엘의료재단,None,각 부문별 정규직 채용,['유지보수C#MSSQL예산관리자금관리 외'],인기있는,서울 강동구 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
